key,type,name,description,engine,slot_email_subject,slot_email_body,slot_sms_body,slot_push_title,slot_push_body,schema,metadata
auth.email.verification,notification,Email Verification,Sent when a new user signs up and must verify their email address.,HANDLEBARS,text:Verify your email address,file:templates/auth.email.verification/email_body.hbs,,,,"{""required"":[""email_subject"",""email_body""],""optional"":[""sms_body""]}","{""channels"":{""email"":true,""sms"":false,""push"":false}}"
auth.password.reset,notification,Password Reset,Sent when a user requests a password reset.,HANDLEBARS,text:Reset your password,file:templates/auth.password.reset/email_body.hbs,text:Your password reset link: {{actionUrl}} (expires in 1 hour),,,"{""required"":[""email_subject"",""email_body""],""optional"":[""sms_body""]}","{""channels"":{""email"":true,""sms"":true,""push"":false}}"
auth.email.change,notification,Email Change Verification,Sent to the new address when a user requests an email change.,HANDLEBARS,text:Confirm your new email address,file:templates/auth.email.change/email_body.hbs,,,,"{""required"":[""email_subject"",""email_body""]}","{""channels"":{""email"":true,""sms"":false,""push"":false}}"
auth.email.change.alert,notification,Email Change Security Alert,Security notice sent to the old address when a user requests an email change.,HANDLEBARS,text:Security alert — email address change requested,file:templates/auth.email.change.alert/email_body.hbs,,,,"{""required"":[""email_subject"",""email_body""]}","{""channels"":{""email"":true,""sms"":false,""push"":false}}"
org.invitation,notification,Organization Invitation,Sent when a user is invited to join an organization.,HANDLEBARS,text:You're invited to join {{orgName}},file:templates/org.invitation/email_body.hbs,,,,"{""required"":[""email_subject"",""email_body""]}","{""channels"":{""email"":true,""sms"":false,""push"":false}}"
org.welcome,notification,Welcome to Organization,Sent after a user joins an organization.,HANDLEBARS,text:Welcome to {{orgName}}!,file:templates/org.welcome/email_body.hbs,file:templates/org.welcome/sms_body.hbs,text:Welcome to {{orgName}}!,file:templates/org.welcome/push_body.hbs,"{""required"":[""email_subject"",""email_body""],""optional"":[""sms_body"",""push_title"",""push_body""]}","{""channels"":{""email"":true,""sms"":true,""push"":true}}"
